	term	tag	value	pstv	ngtv	neut	dunno	pstvNgtvDisagreementRatio	Female	Male	F - M
29011	полоскать	NEUT	0.0	0.152	0.0	0.718	0.13	0.0	0.565	0.59	-0.025
29012	полоскаться	NEUT	0.18	0.24	0.06	0.58	0.12	0.0	0.557	0.628	-0.071
29013	полоснуть	NGTV	-0.46	0.079	0.386	0.436	0.099	0.0	0.574	0.71	-0.136
29014	полосовать	NGTV	-0.56	0.1	0.32	0.25	0.33	0.05	0.488	0.707	-0.219
29015	полосочка	NEUT	0.26	0.267	0.103	0.518	0.112	0.0	0.609	0.667	-0.058
29016	полостной	NEUT	0.0	0.057	0.114	0.543	0.286	0.0	0.465	0.612	-0.147
29017	полость	NEUT	0.0	0.063	0.021	0.77	0.146	0.0	0.482	0.685	-0.203
29018	полотенчико	PSTV	0.7	0.545	0.057	0.309	0.089	0.0	0.581	0.468	0.113
29019	полотнище	NEUT	0.0	0.094	0.031	0.75	0.125	0.0	0.636	0.613	0.023
29020	полотно	NEUT	0.0	0.16	0.0	0.76	0.08	0.0	0.546	0.669	-0.123
29021	полотняный	NEUT	0.0	0.036	0.036	0.892	0.036	0.0	0.597	0.574	0.023
29022	полоть	NEUT	0.26	0.278	0.028	0.546	0.148	0.0	0.475	0.707	-0.232
29023	полоумие	NGTV	-1.0	0.031	0.75	0.063	0.156	0.0	0.537	0.659	-0.122
29024	полоумный	NGTV	-0.95	0.108	0.649	0.189	0.054	0.0	0.461	0.591	-0.13
29025	полтергейст	NGTV	-0.87	0.071	0.536	0.197	0.196	0.0	0.694	0.634	0.06
29026	полтина	NEUT	0.0	0.138	0.034	0.587	0.241	0.0	0.398	0.642	-0.244
29027	полтинник	NEUT	0.47	0.384	0.04	0.424	0.152	0.0	0.412	0.659	-0.247
29028	полуавтомат	NEUT	0.07	0.189	0.108	0.613	0.09	0.0	0.431	0.604	-0.173
29029	полуавтоматический	NEUT	0.0	0.083	0.056	0.722	0.139	0.0	0.516	0.635	-0.119
29030	полубак	NEUT	0.0	0.03	0.02	0.594	0.356	0.0	0.579	0.639	-0.06
29031	полубессознательный	NEUT	-0.15	0.074	0.213	0.565	0.148	0.0	0.491	0.61	-0.119
29032	полубесчувственный	NGTV	-0.35	0.05	0.327	0.504	0.119	0.0	0.425	0.645	-0.22
29033	полубог	NEUT	0.35	0.265	0.103	0.411	0.221	0.0	0.539	0.608	-0.069
