	term	tag	value	pstv	ngtv	neut	dunno	pstvNgtvDisagreementRatio	Female	Male	F - M
281	адресный	NEUT	0.0	0.158	0.053	0.736	0.053	0.0	0.408	0.616	-0.208
282	адресовать	NEUT	0.0	0.156	0.067	0.71	0.067	0.0	0.465	0.519	-0.054
283	адресоваться	NEUT	0.0	0.121	0.061	0.576	0.242	0.0	0.528	0.612	-0.084
284	адресок	NEUT	0.19	0.216	0.059	0.509	0.216	0.0	0.366	0.682	-0.316
285	адски	NGTV	-1.0	0.057	0.755	0.15	0.038	0.0	0.517	0.533	-0.016
286	адский	NGTV	-1.0	0.136	0.682	0.159	0.023	0.0	0.442	0.638	-0.196
287	адъютант	NEUT	0.01	0.137	0.02	0.529	0.314	0.0	0.47	0.632	-0.162
288	адъютантский	NEUT	0.0	0.118	0.108	0.49	0.284	0.0	0.439	0.598	-0.159
289	ажиотаж	NEUT	0.19	0.197	0.167	0.431	0.205	0.14	0.574	0.592	-0.018
290	ажиотажный	NGTV	-0.39	0.259	0.311	0.26	0.17	0.44	0.45	0.566	-0.116
291	ажур	NEUT	0.38	0.31	0.04	0.44	0.21	0.0	0.585	0.659	-0.074
292	ажурный	NEUT	0.49	0.364	0.065	0.375	0.196	0.0	0.679	0.585	0.094
293	аз	NEUT	0.4	0.22	0.05	0.29	0.44	0.0	0.508	0.581	-0.073
294	азарт	NEUT	-0.31	0.166	0.287	0.451	0.096	0.1	0.528	0.691	-0.163
295	азартный	NGTV	-0.48	0.125	0.383	0.384	0.108	0.05	0.33	0.591	-0.261
296	азбука	NEUT	0.5	0.453	0.034	0.453	0.06	0.0	0.468	0.599	-0.131
297	азбучный	NEUT	0.0	0.097	0.117	0.514	0.272	0.0	0.427	0.538	-0.111
298	азиатка	NEUT	0.02	0.178	0.099	0.664	0.059	0.0	0.591	0.561	0.03
299	азимут	NEUT	0.02	0.16	0.04	0.6	0.2	0.0	0.552	0.59	-0.038
300	азовский	NEUT	0.1	0.185	0.0	0.556	0.259	0.0	0.415	0.624	-0.209
301	азот	NEUT	0.0	0.149	0.064	0.659	0.128	0.0	0.512	0.667	-0.155
302	азотный	NEUT	-0.13	0.109	0.188	0.515	0.188	0.0	0.543	0.616	-0.073
303	азотсодержащий	NEUT	0.0	0.036	0.107	0.678	0.179	0.0	0.543	0.714	-0.171
304	аид	NGTV	-0.7	0.17	0.462	0.208	0.16	0.12	0.472	0.564	-0.092
305	аист	PSTV	0.55	0.463	0.025	0.405	0.107	0.0	0.604	0.621	-0.017
306	ай-кью	NEUT	0.44	0.382	0.049	0.451	0.118	0.0	0.735	0.55	0.185
307	айва	NEUT	0.34	0.255	0.059	0.402	0.284	0.0	0.517	0.533	-0.016
308	айкидо	NEUT	0.24	0.245	0.057	0.509	0.189	0.0	0.479	0.539	-0.06
309	айран	NEUT	0.42	0.265	0.044	0.337	0.354	0.0	0.555	0.57	-0.015
310	айсберг	NEUT	0.0	0.133	0.102	0.601	0.164	0.0	0.677	0.506	0.171
311	айтишник	NEUT	0.09	0.167	0.117	0.516	0.2	0.0	0.236	0.649	-0.413
312	айфон	NEUT	0.25	0.285	0.073	0.577	0.065	0.0	0.413	0.443	-0.03
313	академгородок	NEUT	0.44	0.31	0.052	0.371	0.267	0.0	0.511	0.563	-0.052
314	академик	NEUT	0.54	0.48	0.059	0.422	0.039	0.0	0.466	0.702	-0.236
315	академически	NEUT	0.29	0.275	0.073	0.496	0.156	0.0	0.495	0.452	0.043
316	академический	NEUT	0.36	0.345	0.042	0.521	0.092	0.0	0.381	0.548	-0.167
317	академичность	NEUT	0.52	0.421	0.047	0.392	0.14	0.0	0.466	0.67	-0.204
318	академия	NEUT	0.53	0.438	0.071	0.402	0.089	0.0	0.457	0.557	-0.1
319	акация	NEUT	0.52	0.468	0.0	0.441	0.091	0.0	0.619	0.683	-0.064
320	акваланг	NEUT	0.39	0.369	0.025	0.508	0.098	0.0	0.548	0.519	0.029
321	аквалангист	NEUT	0.14	0.262	0.0	0.714	0.024	0.0	0.482	0.585	-0.103
322	аквамарин	NEUT	0.26	0.254	0.059	0.501	0.186	0.0	0.653	0.673	-0.02
323	аквамариновый	NEUT	0.22	0.233	0.039	0.505	0.223	0.0	0.658	0.587	0.071
324	аквапарк	PSTV	0.78	0.605	0.053	0.281	0.061	0.0	0.637	0.478	0.159
325	акварель	NEUT	0.4	0.378	0.034	0.504	0.084	0.0	0.65	0.607	0.043
326	акварельный	NEUT	0.36	0.33	0.018	0.491	0.161	0.0	0.538	0.615	-0.077
327	аквариум	NEUT	0.0	0.135	0.058	0.692	0.115	0.0	0.69	0.472	0.218
328	аквариумист	NEUT	0.04	0.152	0.061	0.545	0.242	0.0	0.485	0.613	-0.128
329	аквариумный	NEUT	0.0	0.156	0.022	0.733	0.089	0.0	0.561	0.568	-0.007
330	акватория	NEUT	0.0	0.159	0.023	0.636	0.182	0.0	0.432	0.56	-0.128
331	акведук	NEUT	0.23	0.189	0.038	0.396	0.377	0.0	0.611	0.641	-0.03
332	аккаунт	NEUT	0.11	0.182	0.036	0.527	0.255	0.0	0.379	0.554	-0.175
333	акклиматизация	NEUT	0.32	0.255	0.182	0.354	0.209	0.22	0.582	0.542	0.04
334	акклиматизироваться	PSTV	0.59	0.467	0.057	0.362	0.114	0.0	0.645	0.526	0.119
335	аккомпанемент	NEUT	0.16	0.248	0.03	0.633	0.089	0.0	0.488	0.632	-0.144
336	аккомпаниатор	NEUT	0.47	0.26	0.029	0.288	0.423	0.0	0.509	0.736	-0.227
337	аккомпанировать	NEUT	0.47	0.382	0.0	0.412	0.206	0.0	0.639	0.593	0.046
338	аккорд	NEUT	0.39	0.339	0.035	0.461	0.165	0.0	0.55	0.64	-0.09
339	аккордеон	NEUT	0.36	0.316	0.043	0.47	0.171	0.0	0.535	0.689	-0.154
340	аккордеонист	NEUT	0.33	0.274	0.085	0.443	0.198	0.0	0.425	0.706	-0.281
341	аккумулирование	NEUT	0.46	0.347	0.059	0.391	0.203	0.0	0.464	0.703	-0.239
342	аккумулировать	NEUT	0.31	0.257	0.05	0.436	0.257	0.0	0.521	0.601	-0.08
343	аккумулятор	NEUT	0.12	0.203	0.068	0.576	0.153	0.0	0.462	0.682	-0.22
344	аккумуляторный	NEUT	0.0	0.143	0.0	0.678	0.179	0.0	0.413	0.574	-0.161
345	аккуратист	PSTV	0.69	0.417	0.078	0.243	0.262	0.0	0.499	0.681	-0.182
346	аккуратненький	PSTV	1.0	0.8	0.0	0.08	0.12	0.0	0.582	0.654	-0.072
347	аккуратненько	PSTV	0.89	0.674	0.023	0.233	0.07	0.0	0.501	0.616	-0.115
348	аккуратность	PSTV	1.0	0.805	0.0	0.146	0.049	0.0	0.504	0.772	-0.268
349	аккуратный	PSTV	1.0	0.778	0.019	0.129	0.074	0.0	0.458	0.785	-0.327
350	акрил	NEUT	0.22	0.248	0.055	0.541	0.156	0.0	0.479	0.734	-0.255
351	акробат	NEUT	0.41	0.341	0.079	0.437	0.143	0.0	0.496	0.599	-0.103
352	акробатика	NEUT	0.34	0.35	0.031	0.552	0.067	0.0	0.519	0.567	-0.048
353	акробатически	NEUT	0.37	0.366	0.057	0.536	0.041	0.0	0.461	0.457	0.004
354	акробатический	NEUT	0.27	0.308	0.034	0.581	0.077	0.0	0.617	0.489	0.128
355	акробатка	NEUT	0.38	0.363	0.056	0.516	0.065	0.0	0.637	0.441	0.196
356	аксессуар	NEUT	0.41	0.405	0.024	0.523	0.048	0.0	0.566	0.579	-0.013
357	акт	NEUT	0.1	0.186	0.096	0.564	0.154	0.0	0.504	0.646	-0.142
358	актив	PSTV	0.88	0.623	0.03	0.221	0.126	0.0	0.352	0.781	-0.429
359	активатор	NEUT	0.0	0.185	0.0	0.778	0.037	0.0	0.49	0.643	-0.153
360	активация	NEUT	0.42	0.382	0.046	0.48	0.092	0.0	0.487	0.619	-0.132
361	активизация	NEUT	0.43	0.346	0.037	0.421	0.196	0.0	0.572	0.704	-0.132
362	активизировать	NEUT	0.47	0.404	0.058	0.442	0.096	0.0	0.496	0.55	-0.054
363	активизироваться	PSTV	0.68	0.534	0.051	0.322	0.093	0.0	0.517	0.63	-0.113
364	активизм	PSTV	0.79	0.514	0.063	0.234	0.189	0.0	0.497	0.683	-0.186
365	активирование	NEUT	0.4	0.37	0.046	0.491	0.093	0.0	0.461	0.655	-0.194
366	активировать	NEUT	0.4	0.367	0.075	0.491	0.067	0.0	0.464	0.531	-0.067
367	активист	PSTV	0.9	0.659	0.049	0.219	0.073	0.0	0.376	0.704	-0.328
368	активистка	PSTV	0.83	0.538	0.118	0.218	0.126	0.0	0.529	0.548	-0.019
369	активность	PSTV	0.78	0.593	0.044	0.275	0.088	0.0	0.531	0.644	-0.113
370	активный	PSTV	1.0	0.712	0.058	0.153	0.077	0.0	0.392	0.702	-0.31
371	актовый	NEUT	0.0	0.1	0.0	0.633	0.267	0.0	0.412	0.546	-0.134
372	актриса	NEUT	0.39	0.359	0.026	0.487	0.128	0.0	0.587	0.594	-0.007
373	актриска	NGTV	-0.48	0.225	0.363	0.255	0.157	0.31	0.565	0.587	-0.022
374	актрисочка	NGTV	-0.51	0.271	0.402	0.224	0.103	0.4	0.535	0.603	-0.068
375	актуализация	NEUT	0.54	0.35	0.068	0.31	0.272	0.0	0.383	0.635	-0.252
376	актуализировать	NEUT	0.54	0.416	0.059	0.367	0.158	0.0	0.477	0.547	-0.07
377	актуализироваться	PSTV	0.58	0.425	0.027	0.336	0.212	0.0	0.512	0.574	-0.062
378	актуальность	PSTV	1.0	0.763	0.0	0.132	0.105	0.0	0.505	0.707	-0.202
379	актуальный	PSTV	0.76	0.598	0.043	0.291	0.068	0.0	0.394	0.598	-0.204
380	актёр	NEUT	0.37	0.359	0.031	0.526	0.084	0.0	0.392	0.776	-0.384
381	актёришка	NGTV	-1.0	0.085	0.681	0.128	0.106	0.0	0.332	0.756	-0.424
382	актёрка	NEUT	-0.25	0.19	0.2	0.33	0.28	0.3	0.446	0.653	-0.207
383	актёрский	NEUT	0.3	0.31	0.052	0.543	0.095	0.0	0.308	0.705	-0.397
384	актёрство	NEUT	0.42	0.407	0.034	0.508	0.051	0.0	0.398	0.69	-0.292
385	актёрствовать	NEUT	-0.22	0.17	0.22	0.44	0.17	0.14	0.412	0.63	-0.218
386	акула	NEUT	-0.26	0.115	0.27	0.525	0.09	0.0	0.477	0.63	-0.153
387	акулий	NEUT	-0.12	0.039	0.167	0.47	0.324	0.0	0.487	0.636	-0.149
388	акустический	NEUT	0.05	0.189	0.0	0.66	0.151	0.0	0.465	0.54	-0.075
389	акушер	NEUT	0.45	0.35	0.068	0.403	0.179	0.0	0.504	0.512	-0.008
390	акушерка	NEUT	0.51	0.39	0.102	0.372	0.136	0.01	0.66	0.534	0.126
391	акушерский	NEUT	0.0	0.121	0.061	0.515	0.303	0.0	0.493	0.634	-0.141
392	акушерство	NEUT	0.47	0.386	0.03	0.426	0.158	0.0	0.546	0.618	-0.072
393	акцент	NEUT	0.26	0.311	0.044	0.601	0.044	0.0	0.413	0.727	-0.314
394	акцентирование	NEUT	0.37	0.291	0.064	0.427	0.218	0.0	0.402	0.675	-0.273
395	акцентировать	NEUT	0.24	0.27	0.026	0.556	0.148	0.0	0.364	0.635	-0.271
396	акцентный	NEUT	0.07	0.171	0.049	0.56	0.22	0.0	0.391	0.599	-0.208
397	акциз	NEUT	0.0	0.087	0.087	0.525	0.301	0.0	0.305	0.789	-0.484
398	акционер	NEUT	0.21	0.252	0.019	0.564	0.165	0.0	0.417	0.714	-0.297
399	акционерный	NEUT	0.05	0.165	0.079	0.576	0.18	0.0	0.356	0.678	-0.322
400	акция	PSTV	0.6	0.497	0.044	0.377	0.082	0.0	0.498	0.58	-0.082
401	алабай	NEUT	0.46	0.307	0.109	0.317	0.267	0.06	0.545	0.583	-0.038
402	алгебра	NEUT	0.26	0.258	0.208	0.442	0.092	0.2	0.432	0.612	-0.18
403	алгебраический	NEUT	0.09	0.22	0.0	0.682	0.098	0.0	0.466	0.569	-0.103
404	алгоритм	NEUT	0.09	0.196	0.043	0.609	0.152	0.0	0.432	0.6	-0.168
405	алгоритмический	NEUT	0.21	0.241	0.018	0.536	0.205	0.0	0.374	0.596	-0.222
406	аленький	PSTV	0.94	0.705	0.033	0.213	0.049	0.0	0.639	0.62	0.019
407	алеть	NEUT	0.31	0.238	0.059	0.406	0.297	0.0	0.479	0.67	-0.191
408	алжирец	NEUT	0.0	0.129	0.065	0.677	0.129	0.0	0.479	0.741	-0.262
409	алжирский	NEUT	0.0	0.143	0.036	0.571	0.25	0.0	0.509	0.661	-0.152
410	алиби	NEUT	0.45	0.358	0.083	0.421	0.138	0.0	0.412	0.702	-0.29
411	алименты	NEUT	-0.13	0.18	0.18	0.48	0.16	0.14	0.439	0.66	-0.221
412	алкалоид	NEUT	-0.19	0.079	0.188	0.446	0.287	0.0	0.696	0.7	-0.004
413	алкашка	NGTV	-1.0	0.078	0.824	0.078	0.02	0.0	0.426	0.529	-0.103
414	алкоголизм	NGTV	-1.0	0.017	0.783	0.183	0.017	0.0	0.452	0.712	-0.26
415	алкоголический	NGTV	-0.93	0.071	0.657	0.201	0.071	0.0	0.545	0.639	-0.094
416	алкоголичка	NGTV	-1.0	0.02	0.784	0.196	0.0	0.0	0.578	0.448	0.13
417	алкогольный	NGTV	-0.68	0.05	0.567	0.341	0.042	0.0	0.506	0.639	-0.133
418	алконавт	NGTV	-1.0	0.08	0.531	0.115	0.274	0.0	0.362	0.606	-0.244
419	аллегоризм	NEUT	0.1	0.194	0.0	0.58	0.226	0.0	0.624	0.683	-0.059
420	аллегорически	NEUT	0.15	0.179	0.094	0.471	0.256	0.0	0.529	0.436	0.093
421	аллейка	NEUT	0.2	0.219	0.019	0.495	0.267	0.0	0.553	0.612	-0.059
422	аллерген	NGTV	-0.97	0.031	0.563	0.156	0.25	0.0	0.663	0.624	0.039
423	аллергический	NGTV	-0.73	0.07	0.548	0.286	0.096	0.0	0.559	0.648	-0.089
424	аллергия	NGTV	-1.0	0.04	0.76	0.133	0.067	0.0	0.616	0.522	0.094
425	аллея	NEUT	0.42	0.377	0.053	0.482	0.088	0.0	0.612	0.612	0.0
426	аллигатор	NEUT	-0.29	0.157	0.273	0.463	0.107	0.08	0.518	0.637	-0.119
427	алмаз	PSTV	0.64	0.516	0.048	0.349	0.087	0.0	0.565	0.734	-0.169
428	алмазик	NEUT	0.49	0.391	0.061	0.409	0.139	0.0	0.545	0.66	-0.115
429	алмазный	NEUT	0.53	0.466	0.034	0.431	0.069	0.0	0.57	0.658	-0.088
430	алогичность	NGTV	-0.47	0.137	0.309	0.281	0.273	0.14	0.518	0.712	-0.194
431	алогичный	NGTV	-0.46	0.112	0.299	0.305	0.284	0.08	0.485	0.604	-0.119
432	алоэ	NEUT	0.31	0.314	0.042	0.542	0.102	0.0	0.635	0.577	0.058
433	алтаец	NEUT	0.07	0.184	0.053	0.605	0.158	0.0	0.451	0.639	-0.188
434	алтайский	NEUT	0.24	0.254	0.026	0.527	0.193	0.0	0.533	0.544	-0.011
435	алтарный	NEUT	0.38	0.235	0.088	0.324	0.353	0.02	0.465	0.698	-0.233
436	алтарь	NEUT	0.43	0.347	0.059	0.426	0.168	0.0	0.557	0.625	-0.068
437	алфавит	PSTV	0.55	0.496	0.043	0.435	0.026	0.0	0.546	0.53	0.016
438	алфавитный	NEUT	0.07	0.18	0.04	0.58	0.2	0.0	0.425	0.554	-0.129
439	алхимик	NEUT	0.25	0.277	0.05	0.554	0.119	0.0	0.586	0.585	0.001
440	алхимический	NEUT	-0.03	0.157	0.157	0.568	0.118	0.03	0.578	0.621	-0.043
441	алхимия	NEUT	0.28	0.259	0.129	0.465	0.147	0.03	0.483	0.651	-0.168
442	алчность	NGTV	-1.0	0.071	0.75	0.143	0.036	0.0	0.481	0.706	-0.225
443	алчный	NGTV	-1.0	0.067	0.7	0.133	0.1	0.0	0.443	0.627	-0.184
444	алый	NEUT	0.28	0.298	0.069	0.557	0.076	0.0	0.521	0.669	-0.148
445	алыча	NEUT	0.41	0.336	0.016	0.435	0.213	0.0	0.522	0.593	-0.071
446	альбатрос	NEUT	0.24	0.246	0.048	0.508	0.198	0.0	0.639	0.699	-0.06
447	альбинос	NEUT	0.22	0.222	0.137	0.462	0.179	0.05	0.571	0.76	-0.189
448	альбиноска	NEUT	-0.06	0.151	0.16	0.529	0.16	0.04	0.675	0.675	0.0
449	альбомный	NEUT	0.0	0.136	0.045	0.774	0.045	0.0	0.431	0.545	-0.114
450	альбомчик	NEUT	0.53	0.42	0.05	0.387	0.143	0.0	0.649	0.582	0.067
451	альпийский	NEUT	0.29	0.272	0.049	0.485	0.194	0.0	0.638	0.489	0.149
452	альпинизм	NEUT	0.2	0.25	0.018	0.571	0.161	0.0	0.613	0.542	0.071
453	альпинист	NEUT	0.38	0.351	0.026	0.5	0.123	0.0	0.488	0.578	-0.09
454	альпинистка	NEUT	0.41	0.357	0.061	0.469	0.113	0.0	0.766	0.314	0.452
455	альпинистский	NEUT	0.06	0.19	0.024	0.643	0.143	0.0	0.59	0.469	0.121
456	альтернатива	NEUT	0.49	0.434	0.031	0.45	0.085	0.0	0.469	0.588	-0.119
457	альтернативность	NEUT	0.21	0.26	0.058	0.576	0.106	0.0	0.349	0.63	-0.281
458	альтернативный	NEUT	0.29	0.304	0.052	0.54	0.104	0.0	0.37	0.655	-0.285
459	альтруизм	PSTV	0.8	0.458	0.067	0.2	0.275	0.0	0.47	0.633	-0.163
460	альтруист	PSTV	0.92	0.559	0.029	0.177	0.235	0.0	0.419	0.582	-0.163
461	альтруистически	PSTV	1.0	0.722	0.089	0.088	0.101	0.0	0.435	0.474	-0.039
462	альтруистический	PSTV	0.9	0.474	0.053	0.157	0.316	0.0	0.381	0.583	-0.202
463	альфа	NEUT	0.37	0.283	0.053	0.407	0.257	0.0	0.583	0.682	-0.099
464	альфа-самец	NEUT	0.4	0.305	0.152	0.353	0.19	0.13	0.599	0.611	-0.012
465	альфонс	NGTV	-0.98	0.06	0.52	0.14	0.28	0.0	0.634	0.661	-0.027
466	альцгеймер	NGTV	-0.93	0.049	0.634	0.195	0.122	0.0	0.529	0.63	-0.101
467	альянс	NEUT	0.48	0.344	0.078	0.367	0.211	0.0	0.474	0.668	-0.194
468	алюминиевый	NEUT	0.0	0.098	0.059	0.667	0.176	0.0	0.51	0.644	-0.134
469	алюминий	NEUT	0.1	0.209	0.064	0.627	0.1	0.0	0.392	0.738	-0.346
470	амазонка	NEUT	0.28	0.29	0.103	0.532	0.075	0.0	0.608	0.497	0.111
471	амазонский	NEUT	0.22	0.22	0.05	0.48	0.25	0.0	0.619	0.564	0.055
472	амбал	NGTV	-0.64	0.059	0.483	0.322	0.136	0.0	0.404	0.671	-0.267
473	амбар	NEUT	0.08	0.214	0.0	0.679	0.107	0.0	0.571	0.601	-0.03
474	амбарный	NEUT	0.0	0.16	0.04	0.64	0.16	0.0	0.54	0.686	-0.146
475	амбарчик	PSTV	0.6	0.416	0.05	0.316	0.218	0.0	0.608	0.677	-0.069
476	амбициозность	PSTV	0.56	0.385	0.183	0.24	0.192	0.2	0.493	0.638	-0.145
477	амбициозный	PSTV	0.9	0.6	0.067	0.2	0.133	0.0	0.412	0.662	-0.25
478	амбиция	PSTV	0.62	0.448	0.129	0.3	0.123	0.03	0.484	0.667	-0.183
479	амбулатория	NEUT	0.17	0.19	0.048	0.467	0.295	0.0	0.535	0.627	-0.092
480	амбулаторный	NEUT	0.01	0.16	0.04	0.613	0.187	0.0	0.566	0.637	-0.071
481	американец	NEUT	0.08	0.206	0.072	0.65	0.072	0.0	0.441	0.726	-0.285
482	американизация	NEUT	0.0	0.022	0.13	0.609	0.239	0.0	0.439	0.611	-0.172
483	американка	NEUT	0.24	0.268	0.08	0.545	0.107	0.0	0.57	0.598	-0.028
484	американочка	NEUT	0.41	0.333	0.118	0.422	0.127	0.02	0.584	0.595	-0.011
485	аметист	NEUT	0.08	0.194	0.065	0.612	0.129	0.0	0.544	0.678	-0.134
486	аметистовый	NEUT	0.04	0.185	0.0	0.667	0.148	0.0	0.59	0.579	0.011
487	аминокислота	NEUT	0.32	0.288	0.087	0.481	0.144	0.0	0.52	0.675	-0.155
488	аминокислотный	NEUT	0.1	0.213	0.056	0.641	0.09	0.0	0.459	0.567	-0.108
489	аммиак	NEUT	0.0	0.059	0.147	0.647	0.147	0.0	0.517	0.729	-0.212
490	амнезия	NGTV	-0.9	0.048	0.629	0.21	0.113	0.0	0.623	0.616	0.007
491	амнистия	PSTV	1.0	0.71	0.065	0.16	0.065	0.0	0.573	0.695	-0.122
492	аморалка	NGTV	-1.0	0.087	0.652	0.073	0.188	0.0	0.354	0.612	-0.258
493	аморальность	NGTV	-1.0	0.039	0.765	0.098	0.098	0.0	0.405	0.766	-0.361
494	аморальный	NGTV	-1.0	0.109	0.717	0.087	0.087	0.0	0.399	0.657	-0.258
495	амортизатор	NEUT	0.49	0.404	0.028	0.421	0.147	0.0	0.478	0.655	-0.177
496	амортизация	NEUT	0.16	0.198	0.047	0.51	0.245	0.0	0.471	0.751	-0.28
497	амортизировать	NEUT	0.39	0.317	0.03	0.435	0.218	0.0	0.489	0.648	-0.159
498	аморфный	NEUT	-0.18	0.159	0.178	0.401	0.262	0.16	0.477	0.566	-0.089
499	ампер	NEUT	0.0	0.108	0.081	0.622	0.189	0.0	0.563	0.614	-0.051
500	амперметр	NEUT	0.19	0.229	0.023	0.534	0.214	0.0	0.57	0.56	0.01
501	ампир	NEUT	-0.07	0.038	0.154	0.5	0.308	0.0	0.633	0.639	-0.006
502	амплитуда	NEUT	0.0	0.111	0.044	0.534	0.311	0.0	0.513	0.702	-0.189
503	амплитудный	NEUT	0.0	0.086	0.057	0.6	0.257	0.0	0.568	0.606	-0.038
504	амплуа	NEUT	0.0	0.15	0.08	0.68	0.09	0.0	0.408	0.62	-0.212
505	ампула	NEUT	0.01	0.167	0.063	0.645	0.125	0.0	0.626	0.69	-0.064
506	ампутация	NGTV	-0.93	0.082	0.63	0.192	0.096	0.0	0.561	0.649	-0.088
507	ампутировать	NGTV	-0.88	0.037	0.63	0.222	0.111	0.0	0.644	0.623	0.021
508	амулет	PSTV	0.59	0.442	0.088	0.346	0.124	0.0	0.583	0.572	0.011
509	амуниция	NEUT	0.0	0.115	0.0	0.616	0.269	0.0	0.389	0.613	-0.224
510	амур	PSTV	0.94	0.654	0.038	0.193	0.115	0.0	0.572	0.625	-0.053
511	амурный	PSTV	1.0	0.704	0.074	0.037	0.185	0.0	0.552	0.62	-0.068
512	амфетамин	NGTV	-0.63	0.176	0.435	0.232	0.157	0.15	0.586	0.708	-0.122
513	амфибия	NEUT	0.0	0.034	0.0	0.794	0.172	0.0	0.49	0.541	-0.051
514	амфитеатр	NEUT	0.35	0.3	0.091	0.454	0.155	0.0	0.565	0.486	0.079
515	амфора	NEUT	0.37	0.248	0.05	0.355	0.347	0.0	0.58	0.709	-0.129
516	амёба	NEUT	-0.19	0.098	0.235	0.559	0.108	0.0	0.605	0.667	-0.062
517	анабиоз	NEUT	0.0	0.13	0.11	0.54	0.22	0.0	0.644	0.503	0.141
518	анаконда	NEUT	-0.28	0.079	0.287	0.535	0.099	0.0	0.591	0.689	-0.098
519	анализ	NEUT	0.39	0.365	0.035	0.496	0.104	0.0	0.537	0.726	-0.189
520	анализатор	NEUT	0.1	0.196	0.059	0.588	0.157	0.0	0.492	0.582	-0.09
521	анализаторный	NEUT	0.0	0.143	0.036	0.642	0.179	0.0	0.534	0.539	-0.005
522	анализирование	NEUT	0.48	0.413	0.025	0.438	0.124	0.0	0.472	0.675	-0.203
523	анализировать	PSTV	0.58	0.491	0.018	0.395	0.096	0.0	0.464	0.635	-0.171
524	аналитически	NEUT	0.03	0.172	0.034	0.622	0.172	0.0	0.395	0.499	-0.104
525	аналитический	NEUT	0.4	0.29	0.07	0.39	0.25	0.0	0.424	0.613	-0.189
526	аналитичность	NEUT	0.5	0.351	0.045	0.352	0.252	0.0	0.448	0.669	-0.221
527	аналог	NEUT	0.18	0.231	0.046	0.554	0.169	0.0	0.468	0.597	-0.129
528	аналогий	NEUT	0.0	0.125	0.023	0.522	0.33	0.0	0.426	0.394	0.032
529	аналогичность	NEUT	0.25	0.27	0.07	0.547	0.113	0.0	0.382	0.656	-0.274
530	аналогичный	NEUT	0.14	0.232	0.036	0.616	0.116	0.0	0.45	0.65	-0.2
531	анальгин	NEUT	0.24	0.244	0.065	0.504	0.187	0.0	0.65	0.645	0.005
532	ананас	NEUT	0.48	0.434	0.031	0.457	0.078	0.0	0.663	0.589	0.074
533	ананасный	NEUT	0.16	0.208	0.019	0.528	0.245	0.0	0.617	0.529	0.088
534	ананасовый	NEUT	0.43	0.382	0.033	0.463	0.122	0.0	0.664	0.524	0.14
535	анархизм	NGTV	-0.43	0.13	0.33	0.37	0.17	0.07	0.411	0.747	-0.336
536	анархист	NGTV	-0.54	0.148	0.398	0.306	0.148	0.1	0.388	0.733	-0.345
537	анархистка	NGTV	-0.63	0.087	0.495	0.34	0.078	0.0	0.577	0.455	0.122
538	анархистский	NGTV	-0.66	0.082	0.463	0.298	0.157	0.0	0.427	0.702	-0.275
539	анархический	NGTV	-0.52	0.029	0.352	0.333	0.286	0.0	0.391	0.685	-0.294
540	анархия	NGTV	-0.68	0.074	0.474	0.289	0.163	0.0	0.436	0.74	-0.304
541	анатомирование	NEUT	0.09	0.163	0.067	0.501	0.269	0.0	0.473	0.668	-0.195
542	анатомически	NEUT	0.0	0.158	0.026	0.632	0.184	0.0	0.475	0.481	-0.006
543	анатомический	NEUT	0.1	0.188	0.0	0.562	0.25	0.0	0.545	0.643	-0.098
544	анатомия	NEUT	0.05	0.186	0.023	0.651	0.14	0.0	0.39	0.673	-0.283
545	ангажированный	NGTV	-0.42	0.122	0.237	0.244	0.397	0.17	0.303	0.628	-0.325
546	ангар	NEUT	0.0	0.132	0.066	0.657	0.145	0.0	0.494	0.57	-0.076
547	ангел	PSTV	1.0	0.821	0.018	0.125	0.036	0.0	0.623	0.552	0.071
548	ангелок	PSTV	1.0	0.796	0.061	0.082	0.061	0.0	0.676	0.629	0.047
549	ангелочек	PSTV	1.0	0.902	0.02	0.058	0.02	0.0	0.64	0.598	0.042
550	ангельски	PSTV	1.0	0.8	0.02	0.06	0.12	0.0	0.547	0.519	0.028
551	ангельский	PSTV	1.0	0.757	0.054	0.135	0.054	0.0	0.575	0.648	-0.073
552	ангина	NGTV	-0.91	0.08	0.68	0.22	0.02	0.0	0.61	0.498	0.112
553	ангиозный	NGTV	-0.68	0.066	0.211	0.115	0.608	0.06	0.467	0.555	-0.088
554	англ	NEUT	0.19	0.228	0.03	0.534	0.208	0.0	0.526	0.638	-0.112
555	англичанин	NEUT	0.22	0.282	0.034	0.607	0.077	0.0	0.495	0.717	-0.222
556	англичанка	NEUT	0.15	0.235	0.059	0.608	0.098	0.0	0.577	0.543	0.034
557	англоман	NEUT	0.3	0.235	0.049	0.412	0.304	0.0	0.45	0.662	-0.212
558	англосаксы	NEUT	0.0	0.148	0.037	0.63	0.185	0.0	0.545	0.568	-0.023
559	андроид	NEUT	0.08	0.196	0.078	0.628	0.098	0.0	0.383	0.493	-0.11
560	анекдот	PSTV	1.0	0.796	0.0	0.163	0.041	0.0	0.525	0.515	0.01
561	анекдотец	PSTV	0.58	0.375	0.096	0.298	0.231	0.0	0.504	0.575	-0.071
